Exercice;Mois;Code LV;Lieu de vente;Code regroupement;Regroupement;Total HT;Total MS;Type
{AnneeCourante};01/08/{AnneeCourante};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/10/{AnneePrecedente};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/08/{AnneeCourante};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G221;Biarritz;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/10/{AnneePrecedente};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/08/{AnneeCourante};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G217;Bizanos;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/10/{AnneePrecedente};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/08/{AnneeCourante};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G192;Pau;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/10/{AnneePrecedente};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/08/{AnneeCourante};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G213;Semeac;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/10/{AnneePrecedente};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/08/{AnneeCourante};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G237;St paul les dax;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/10/{AnneePrecedente};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/08/{AnneeCourante};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G191;St pierre;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/10/{AnneePrecedente};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/08/{AnneeCourante};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G287;Tarbes;GF_CR;Grand Frais Cremerie;712;16767;REEL
